情绪类型,2024-11-11,2024-11-12,2024-11-13,2024-11-14,2024-11-15,总计
中性,40,2197,1580,1171,588,5576
正面,73,3229,2746,2058,888,8994
负面,387,19851,16729,12015,5390,54372
