情绪类型,2024-11-11,2024-11-12,2024-11-13,2024-11-14,2024-11-15,总计
中性,104,5424,3810,2622,1346,13306
正面,166,7540,6240,4512,2004,20462
负面,856,44350,37542,26234,12200,121182
