文本;群体情绪;时间
广东珠海发生驾车撞人重大恶性案件 致35死43伤 #社会新闻  #重大案件;0.0010152570964420899;2024-11-12 12:26:19
珠海驾车冲撞市民重大恶性案件造成35人死亡 43人受伤;0.0;--------
珠海11日晚发生驾车冲撞市民重大恶性案件 35人死亡 43人受伤 #事故;0.0;2024-11-12 12:03:21
"珠海11日晚发生驾车冲撞市民重大恶性案件：35人死亡，43人受伤。
视频来源：央视新闻";0.001984009205344603;2024-11-12 11:47:10
2024年11月11日19时48分许，珠海发生一起驾车冲撞市民重大恶性案件。12日，珠海市公安局发布警情通报，案件致35人死亡，43人受伤。;0.00022780802510175414;2024-11-12 11:45:11
珠海11日晚发生驾车冲撞市民重大恶性案件：35人死亡 43人受伤;0.004602404145813397;2024-11-12 11:43:10
警情通报：珠海驾车冲撞市民重大恶性案件造成35人死亡 43人受伤;0.015048468921983202;2024-11-12 15:14:10
珠海警方通报一起驾车冲撞市民重大恶性案件：35人死亡 ，43人受伤！;0.00011832177804888859;2024-11-12 12:05:11
珠海警方通报一起重大恶性案件，62岁男子驾车冲撞市民，致35人死亡43人受伤;0.000518601613103736;2024-11-12 12:09:21
珠海警方通报一起重大恶性案件，已致35人死亡，43人受伤#车祸 #恶性案件;0.002244996404559128;2024-11-12 11:51:10
珠海警方通报：11日晚发生驾车冲撞市民重大恶性案件，致35人死亡43人受伤。;0.0005969335854938379;2024-11-12 11:45:21
珠海警方通报体育中心小车撞人事件;0.0006540836235263111;2024-11-12 11:57:21
"珠海发生一起驾车撞人逃逸事件， 肇事司机已被警方控制。


（来源：央视新闻）";0.008315247863587179;2024-11-12 15:01:34
珠海发生驾车冲撞市民重大恶性案件 已致35人死亡43人受伤 #珠海 #冲撞 #恶性案件 #社会 ;0.09576115317562575;2024-11-12 14:59:00
广东：全力以赴做好伤员救治和调查处置工作，举一反三开展问题排查整治。#珠海一男子驾车撞人致35死 #男司机冲撞人群 #珠海男司机冲撞人群 #珠海警方通报一起重大恶性案件;0.014759617664904329;2024-11-12 15:04:24
珠海警方通报“樊某驾车冲撞锻炼市民重大恶性案件”：致35人经抢救无效死亡、43人受伤住院治疗;8.060636234112671e-05;2024-11-12 15:21:20
习近平对广东珠海市驾车冲撞行人案件作出重要指示。;0.0;2024-11-12 15:22:39
