发布者;IP属地;帖子账号粉丝数;转发数;评论数;点赞数;文本;话题;一级账号粉丝数;用户名;评论属地;评论内容;评论时间;评论点赞数;主题相似度;标记
霜晨一晓月;广东;0;542;1;558;日本人排放核污水时，我以为中国文化人都被掐死或变成哑巴了，此时这种激烈反映和愤怒，才知道它们还都有气儿;0;113;慧剑心灯;山东;//@霜晨一晓月:日本人排放核污水时，我以为中国文化人都被掐死或变成哑巴了，此时这种激烈反映和愤怒，才知道它们还都有气儿！[允悲][允悲][允悲];2023-09-09 11:26:53;0;0.0345178835629627;0
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;109;芝麻咕噜噜;上海;就算测出来有污染 人家继续排 不能阻止就是全世界的悲哀 别一天天的热搜了  什么时候能停止排放再来说吧 一天天看这些烦死了;2023-09-09 23:35:45;23;0.0362787914731411;0
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;109;芝麻咕噜噜;上海;回复@鍇少:是的是的  你说的对 只不过是想点开看看 是不是找到了阻止的办法.... 发现还是一直在排海 次次都失望不想看了  不过我发表一下自己的看法 您别激动 我跟你也不认识 我干什么也不需要你说哈 没事可以安排下自己的家人[挖鼻];2023-09-12 07:12:43;0;0.0362787914731411;1
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;109;鍇少;广东;这么烦还点进来评论，还不如多喝杯咖啡，city walk一下呢。;2023-09-11 09:15:41;0;0.0362787914731411;1
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;109;挺好A_A;北京;烦死了别看不就得了，干嘛自己找不痛快[二哈];2023-09-10 23:17:28;3;0.0362787914731411;1
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;109;xixi成长笔记;辽宁;看不到并不代表不存在，日本人巴不得你们天天都不关注这件事;2023-09-10 23:06:29;3;0.0362787914731411;1
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;109;一个痛失爱犬的女子;广东;你别看微博了，哪能因为你一个人不想看就不让全人类知道真相了？你谁啊;2023-09-10 08:45:16;29;0.0362787914731411;1
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;344;木有所思啊;其他;必須一起站出來阻止這種對人類對生態的毀滅性行為;2023-09-09 12:13:50;90;0.0362787914731411;0
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;100;TRCTY523338;海外;会拖很长时间，等法律程序走完，大概也排完了;2023-09-09 19:25:02;24;0.0362787914731411;0
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;18;Shinning林;其他;100个渔民的力量估计很小[泪]，据说日本有近六成民众支持排海。而且法律程序没个几年是走不完的[泪]。总体来说我的看法比较悲观。但是有人发声总比没有好;2023-09-10 01:26:05;21;0.0362787914731411;0
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;18;射手座的宅喵;江西;是7成以上的日本人支持;2023-09-10 23:13:51;0;0.0362787914731411;1
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;80;小孩谈恋爱year;其他;这两天小日子排污水的新闻都被某韩国女团时间给转移注意力了⚠️，小日子的700亿公关费看来是有人接单了;2023-09-10 01:21:30;18;0.0362787914731411;0
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;7;暖风照寒;其他;最可怕的是现在热度已经降下去了[泪];2023-09-10 10:52:41;9;0.0362787914731411;0
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;269;道遒;其他;可以告日本反人类罪吗？;2023-09-10 08:03:42;8;0.0362787914731411;0
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;159;love钧博;广东;一颗氢弹能解决的事，为什么要搞的这么麻烦，俄罗斯给安排一下。;2023-09-10 09:24:57;9;0.0362787914731411;0
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;263;汉娜babyshower;河南;中国的行动在哪里？;2023-09-10 10:55:12;6;0.0362787914731411;0
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;311;行望远;陕西;一弹解千愁，不然都排放;2023-09-10 10:52:22;6;0.0362787914731411;0
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;24;阿库纳模塔塔;浙江;中国什么时候去排放口采样，俄罗斯都给你打好版了，嘴巴功夫已经没用了;2023-09-09 21:11:09;3;0.0362787914731411;0
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;119;catcatbaby2018;其他;倭寇頭子幹這等逆天暴行必有報應;2023-09-10 22:46:48;1;0.0362787914731411;0
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;161086;夏薇燃;北京;还是直接灭了日本比较快[允悲];2023-09-10 20:20:03;0;0.0362787914731411;0
张佬寻牛;广东;0;69;81;777;第批污水将排，日本有一群人不干了，直击岸田七寸，中国可效仿。日本核污水问题的后续来了。据日官媒介绍，第一批核污水排海将于月日结束。目前，东电公司正在为第二批核污水的入海做准备。相关数据显示，第一批核污水的总量为吨，第二批总量应该也差不多是这个数。仅是年，日本就规展开;0;547;H45胡萝卜的好朋友12;广东;[羞嗒嗒][羞嗒嗒][羞嗒嗒][羞嗒嗒][羞嗒嗒][羞嗒嗒]，鼓掌，👏👏👏👏👏👏，日本政府顾头不顾尾地危害全地球人……;2023-09-10 08:03:51;0;0.0362787914731411;0
